fecha cer,ARTX213=BA,ARTC213=BA,ART2X13=BA,ART2X23=BA,ARTX223=BA,ARTX233=BA,ARTX243=BA,ARTX263=BA,año,mes,dia,fecha cer,cer index,CLOSE,cer año,cer mes,cer dia
2020-08-24,116.7,370.25,110.5,104.0,111.4,105.95,101.7,,2020,8,24,2020-08-24,2020-08-12,22.4147,2020,8,12
2020-08-25,116.5,368.3,110.5,103.9,110.9,105.15,101.25,,2020,8,25,2020-08-25,2020-08-13,22.4305,2020,8,13
2020-08-26,116.5,369.9,110.5,103.25,110.45,104.2,98.81,,2020,8,26,2020-08-26,2020-08-14,22.4462,2020,8,14
2020-08-27,116.8,368.55,110.45,102.0,110.85,103.85,99.5,,2020,8,27,2020-08-27,2020-08-17,22.4893,2020,8,17
2020-08-28,117.6,372.0,110.9,104.0,111.85,104.85,99.5,,2020,8,28,2020-08-28,2020-08-18,22.5029,2020,8,18
2020-08-31,117.8,374.0,111.05,104.75,112.5,106.0,101.25,,2020,8,31,2020-08-31,2020-08-19,22.5166,2020,8,19
2020-09-01,118.2,374.4,111.3,105.25,112.95,106.8,102.5,,2020,9,1,2020-09-01,2020-08-20,22.5303,2020,8,20
2020-09-02,118.2,374.75,111.65,105.05,113.2,107.25,103.25,,2020,9,2,2020-09-02,2020-08-21,22.544,2020,8,21
2020-09-03,118.6,374.8,111.6,105.3,113.7,106.95,102.8,,2020,9,3,2020-09-03,2020-08-24,22.5851,2020,8,24
2020-09-04,118.4,374.5,111.85,105.45,113.35,106.9,103.0,,2020,9,4,2020-09-04,2020-08-25,22.5988,2020,8,25
2020-09-07,118.3,373.4,113.0,105.5,115.0,107.05,103.1,84.7,2020,9,7,2020-09-07,2020-08-26,22.6125,2020,8,26
2020-09-08,118.3,373.9,111.5,105.0,113.25,106.7,103.1,83.95,2020,9,8,2020-09-08,2020-08-27,22.6262,2020,8,27
2020-09-09,118.0,373.5,111.5,104.8,113.15,106.9,102.65,84.7,2020,9,9,2020-09-09,2020-08-28,22.64,2020,8,28
2020-09-10,117.9,372.85,111.4,105.0,112.95,107.6,103.1,84.8,2020,9,10,2020-09-10,2020-08-31,22.6812,2020,8,31
2020-09-11,118.2,373.65,111.6,105.35,112.4,107.65,102.95,84.71,2020,9,11,2020-09-11,2020-09-01,22.695,2020,9,1
2020-09-14,118.5,374.9,111.55,105.3,112.65,107.85,103.0,84.65,2020,9,14,2020-09-14,2020-09-02,22.7088,2020,9,2
2020-09-15,118.5,375.0,111.7,105.15,112.65,107.5,102.65,84.65,2020,9,15,2020-09-15,2020-09-03,22.7226,2020,9,3
2020-09-16,119.0,375.1,112.0,104.75,112.8,107.45,102.9,84.75,2020,9,16,2020-09-16,2020-09-04,22.7364,2020,9,4
2020-09-17,118.9,376.25,112.5,105.0,112.65,107.6,103.0,84.7,2020,9,17,2020-09-17,2020-09-07,22.7778,2020,9,7
2020-09-18,119.2,377.15,112.7,105.5,112.9,108.4,103.5,85.08,2020,9,18,2020-09-18,2020-09-08,22.7917,2020,9,8
2020-09-21,119.3,377.7,113.1,105.5,112.75,108.6,103.7,85.0,2020,9,21,2020-09-21,2020-09-09,22.8055,2020,9,9
2020-09-22,119.45,377.5,113.0,105.45,112.8,109.15,103.9,85.1,2020,9,22,2020-09-22,2020-09-10,22.8194,2020,9,10
2020-09-23,119.0,376.0,112.6,104.75,112.0,107.35,101.75,83.99,2020,9,23,2020-09-23,2020-09-11,22.8332,2020,9,11
2020-09-24,119.0,376.15,112.8,104.0,112.75,106.15,100.4,82.15,2020,9,24,2020-09-24,2020-09-14,22.8749,2020,9,14
2020-09-25,119.3,377.25,113.25,104.25,112.7,106.6,101.3,82.58,2020,9,25,2020-09-25,2020-09-15,22.8888,2020,9,15
2020-09-28,119.35,377.85,113.0,104.75,112.4,106.45,101.0,82.31,2020,9,28,2020-09-28,2020-09-16,22.9091,2020,9,16
2020-09-29,119.6,378.8,113.4,104.8,112.3,107.0,101.35,82.55,2020,9,29,2020-09-29,2020-09-17,22.9294,2020,9,17
2020-09-30,119.5,378.8,,105.2,112.65,108.0,102.35,83.8,2020,9,30,2020-09-30,2020-09-18,22.9498,2020,9,18
2020-10-01,119.55,378.75,113.5,105.4,113.25,108.2,102.55,83.8,2020,10,1,2020-10-01,2020-09-21,23.011,2020,9,21
